POZO,XCOORD,YCOORD,Prof,Fecha,runlife,ciclo,Dpiston,Lon_Superficie,SPM,RGP,AYS,Elasticity,SP,Fillage,BBPD,BNPD
BN-0087,171,92,7195,1/2/19,192,3,1.125,74,7,846.8808712,17.96829819,0.780892383,57.78603634,0.417428138,59.69315612,48.96731183
BN-0066,137,176,7174,1/2/19,33,7,1.5,45,7,390.9713741,59.60010468,0.887353565,39.93091043,0.961686691,73.33112045,29.6256959
BN-0040,160,129,7148,1/2/19,39,5,2,100,4,1193.829386,27.88755987,0.797403126,79.7403126,0.279732764,148.7635272,107.2770095
BN-0015,141,72,7321,1/2/19,362,3,1.5,74,5,540.8366097,42.51809401,0.803366146,59.44909479,0.615148649,77.98235009,44.82574117
BN-0055,122,62,7163,1/2/19,177,6,1.125,100,5,392.8054546,52.23197203,0.909118685,90.91186853,0.923204044,67.08017449,32.04287651
BN-0092,180,211,7200,1/2/19,103,4,2,100,4,846.0382807,18.29952125,0.738331679,73.83316794,0.346164412,137.7431581,112.5368196
BN-0074,71,245,7182,1/2/19,90,1,1.125,45,7,328.4813451,49.79426372,0.94876954,42.69462931,0.941256887,44.1036855,22.14258003
BN-0069,58,136,7177,1/2/19,179,0,2.5,45,5,466.7070909,57.66219986,0.860357831,38.71610241,0.633479737,141.0717981,59.72669593
BN-0001,102,108,7012,1/2/19,189,6,2.5,100,7,496.7355584,53.28079848,0.876303564,87.63035642,0.604622468,447.0243557,208.8462096
BN-0004,60,285,7079,1/2/19,60,4,1.125,54,3,332.3368192,47.97619022,0.949209835,51.25733107,0.963056785,22.69242136,11.80546212
BN-0014,224,279,7212,1/2/19,364,3,1.5,74,7,860.5911238,22.40569786,0.74232029,54.93170145,0.415186158,100.8793231,78.27660676
BN-0022,102,139,7325,1/2/19,10,5,1.125,120,3,619.8445085,40.67042785,0.83009989,99.61198675,0.647323974,44.09978297,26.16421256
BN-0019,127,266,7122,1/2/19,105,0,1.125,45,4,349.7639825,41.45814887,0.926269932,41.68214693,0.90164206,24.6044503,14.40390067
BN-0098,152,97,7206,1/3/19,306,2,2.5,100,7,1001.584525,21.49205821,0.73295534,73.29553403,0.363349748,373.898843,293.540286
BN-0064,160,187,7172,1/3/19,182,0,2.5,54,7,1177.5991,17.06863143,0.738066964,39.85561607,0.301026224,203.3134615,168.6106361
BN-0065,266,54,7173,1/3/19,271,4,1.125,100,3,1022.315669,12.16588593,0.687121263,68.71212629,0.201477423,30.41993194,26.71907772
BN-0002,225,245,7072,1/3/19,127,2,1.5,100,4,1302.471623,14.62422101,0.732994137,73.29941374,0.218840423,76.92040477,65.67139477
BN-0089,109,103,7197,1/3/19,207,3,2.5,100,5,307.7298441,52.54921993,0.920600367,92.06003671,0.908920395,335.4437588,159.1706802
BN-0043,101,85,7151,1/3/19,119,5,1.125,74,3,568.2173847,51.08867616,0.81952543,60.64488183,0.639827224,26.84843676,13.13192585
BN-0079,173,217,7187,1/3/19,317,1,2.5,45,4,953.8285912,19.40602842,0.759146389,34.16158752,0.365333672,99.58102761,80.25630509
